id,location,meanEngProf,meanEngFreq,meanArbProf,meanArbFreq,engReadProf,engReadFreq,arbReadProf,arbReadFreq,hand,experimenter,age,sex,primaryLang,hand2,lang1,lang2,lang3,engComp,arabicComp,radius,angle,cols,col1,pch,engMinusArabic,group2
o103,online,4,4,2.33333333,2,4,4,2,1,4.75,,17,Female,,,,,,1,0.441666667,1.093192318,23.82944947,#72B2BF,#72B2BF,21,0.558333334,1. English
o104,online,3.66666667,3.75,3.33333333,3,4,4,4,2,3.5,,18,Female,,,,,,0.964583334,0.741666667,1.216754064,37.55662923,#BBC783,#BBC783,21,0.222916667,2. Bilingual
o105,online,4,4,3.33333333,3.5,4,4,3,3,4.25,,18,Male,,,,,,1,0.804166667,1.283231868,38.80508121,#CAC96B,#CAC96B,21,0.195833334,2. Bilingual
o106,online,3,3.25,2.33333333,1.75,3,3,2,1,4.75,,18,Male,,,,,,0.76875,0.422916667,0.877402456,28.81675397,#92BAB4,#92BAB4,21,0.345833334,1. English
o107,online,3.66666667,3,4,3,4,4,4,2,5,,18,Male,,,,,,0.908333334,0.775,1.194024474,40.47117576,#D4CA59,#D4CA59,21,0.133333334,2. Bilingual
o108,online,3,3,3,3,3,3,3,3,5,,18,Male,,,,,,0.75,0.75,1.060660172,45,#E3B40F,#E3B40F,21,0,2. Bilingual
o109,online,4,4,1.66666667,1.5,4,4,2,1,4,,18,Male,,,,,,1,0.370833334,1.066544589,20.34645941,#58A7BA,#58A7BA,21,0.629166667,1. English
o110,online,4,4,0,0,4,4,0,0,4.75,,22,Female,,,,,,1,0,1,0,#3A9AB2,#3A9AB2,21,1,1. English
o111,online,3.66666667,3.5,2.33333333,2,4,4,2,1,5,,18,Female,,,,,,0.945833334,0.441666667,1.043872664,25.03070967,#7BB4BC,#7BB4BC,21,0.504166667,1. English
o112,online,4,3.75,3.33333333,2,4,4,3,1,5,,19,Female,,,,,,0.98125,0.541666667,1.120827525,28.89944349,#92BAB4,#92BAB4,21,0.439583334,1. English
o113,online,3.33333333,3.5,2,2.5,4,4,2,1,5,,22,Female,,,,,,0.929166667,0.4625,1.037909892,26.46218634,#86B7B9,#86B7B9,21,0.466666667,1. English
o114,online,4,4,0,0,4,4,0,0,5,,27,Female,,,,,,1,0,1,0,#3A9AB2,#3A9AB2,21,1,1. English
o115,online,4,3.75,3.66666667,3.25,4,4,4,3,4.5,,20,Male,,,,,,0.98125,0.852083334,1.299575919,40.96991134,#DCCA4B,#DCCA4B,21,0.129166667,2. Bilingual
o116,online,3.33333333,3.25,4,3.5,4,4,4,4,5,,19,Male,,,,,,0.910416667,0.9625,1.324864052,46.59290927,#E4AA0B,#E4AA0B,21,-0.052083334,3. Arabic
o117,online,3.66666667,3.25,3,1.75,4,4,4,0,4,,20,Male,,,,,,0.927083334,0.48125,1.044550176,27.43387686,#8DB9B7,#8DB9B7,21,0.445833334,1. English
o118,online,4,3.5,2.33333333,2.75,4,4,2,2,5,,20,Male,,,,,,0.9625,0.572916667,1.120107029,30.76271953,#9CBEAB,#9CBEAB,21,0.389583334,1. English
o119,online,3.66666667,3.75,2.66666667,1.75,4,4,2,1,5,,19,Male,,,,,,0.964583334,0.439583334,1.060025714,24.49987127,#76B3BE,#76B3BE,21,0.525,1. English
o120,online,3,3,4,4,3,3,4,4,5,,20,Male,,,,,,0.75,1,1.25,53.13010235,#E88F05,#E88F05,21,-0.25,3. Arabic
o121,online,2.33333333,3,4,3.5,3,4,4,3,5,,18,Female,,,,,,0.791666667,0.8875,1.189282288,48.26643904,#E69D06,#E69D06,21,-0.095833334,3. Arabic
o122,online,3.33333333,3.75,2.33333333,2,4,4,2,1,4.75,,18,Female,,,,,,0.947916667,0.441666667,1.045760704,24.98241533,#7AB4BD,#7AB4BD,21,0.50625,1. English
o123,online,2.66666667,4,3.66666667,2.5,3,4,3,1,4.5,,18,Female,,,,,,0.883333334,0.595833334,1.065502294,34.00077912,#AFC494,#AFC494,21,0.2875,2. Bilingual
o124,online,4,4,2,2.25,4,4,2,2,5,,18,Female,,,,,,1,0.51875,1.126544079,27.41802706,#8CB8B7,#8CB8B7,21,0.48125,1. English
o125,online,4,4,1.33333333,1.5,4,4,1,0,5,,19,Female,,,,,,1,0.229166667,1.025922688,12.90740866,#449EB4,#449EB4,21,0.770833334,1. English
o126,online,4,4,0,0,4,4,0,0,4.75,,23,Female,,,,,,1,0,1,0,#3A9AB2,#3A9AB2,21,1,1. English
o127,online,3.33333333,3.25,4,4,4,4,4,4,5,,34,Female,,,,,,0.910416667,1,1.352352952,47.6847493,#E69F07,#E69F07,21,-0.089583334,3. Arabic
o128,online,4,3.5,2,2.5,4,3,1,1,4.25,,18,Female,,,,,,0.8875,0.4125,0.978678957,24.92847414,#79B4BD,#79B4BD,21,0.475,1. English
o129,online,4,2.5,2.66666667,2.75,4,3,3,3,5,,18,Female,,,,,,0.8125,0.714583334,1.082028461,41.33121392,#DDC744,#DDC744,21,0.097916667,2. Bilingual
o130,online,1.66666667,3,3.33333333,3.5,3,0,3,3,5,,18,Female,,,,,,0.458333334,0.804166667,0.925609784,60.31910055,#ED6C04,#ED6C04,21,-0.345833333,3. Arabic
o131,online,2.66666667,2.25,2,2.75,3,3,2,3,4.75,,19,Male,,,,,,0.677083334,0.63125,0.925698873,42.99364349,#E0BD23,#E0BD23,21,0.045833334,2. Bilingual
o132,online,3,3.25,4,3,3,4,4,2,5,,21,Male,,,,,,0.84375,0.775,1.145660972,42.56805005,#DFC131,#DFC131,21,0.06875,2. Bilingual
o133,online,2.66666667,3,4,4,3,3,4,4,4.25,,18,Female,,,,,,0.733333334,1,1.240071683,53.74616226,#E98905,#E98905,21,-0.266666667,3. Arabic
o134,online,4,3.75,3,1,4,4,3,0,4.75,,16,Female,,,,,,0.98125,0.375,1.050464927,20.91513663,#5CA9BB,#5CA9BB,21,0.60625,1. English
o135,online,2.66666667,2.25,4,3.25,3,3,4,4,5,,17,Female,,,,,,0.677083334,0.94375,1.161510182,54.34285661,#E98605,#E98605,21,-0.266666667,3. Arabic
o136,online,2.66666667,3.5,2.33333333,2.5,3,4,2,1,5,,20,Male,,,,,,0.845833334,0.479166667,0.972128964,29.53166033,#98BCAF,#98BCAF,21,0.366666667,1. English
o137,online,2.66666667,3.5,3,3,2,4,3,2,5,,18,Male,,,,,,0.795833334,0.675,1.043539982,40.303528,#D2CA5D,#D2CA5D,21,0.120833334,2. Bilingual
